venue,event_uid,venue_uid,start_date,end_date,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season,venue_event_groupby,venue_artist_groupby
1600 Smith Street,177388,12042046,2016-09-21,2017-01-12,29.7545586744186,-95.3720405232558,1600 Smith Street,houston,77002.0,,9502528.0,2016-09-21,2017-01-12,113,9,fall,yes,6,3
1610 Vermont Street,9138486,6435471,2018-08-25,2018-08-25,29.749646000000002,-95.4025452,1610 Vermont Street,houston,77006.0,,,2018-08-25,2018-08-25,0,8,summer,yes,1,0
1612 Winbern Street,12258182,14985197,2012-10-26,2012-10-27,29.7352328367347,-95.37420863265311,1612 Winbern Street,houston,77004.0,,5509538.0,2012-10-26,2012-10-27,1,10,fall,yes,1,2
1711 West Main,9531051,16305717,2016-04-30,2016-05-01,29.73578,-95.40469370000001,1711 West Main Street,houston,77098.0,,,2016-04-30,2016-05-01,1,4,spring,no,1,0
1716 W Main Street,7064324,14752811,2017-04-29,2017-04-29,29.736296399999997,-95.40489029999999,1716 West Main Street,houston,77098.0,,12577325.0,2017-04-29,2017-04-29,0,4,spring,no,1,1
1743 Kipling Street,9140709,534110,2019-07-18,2019-07-18,29.740078000000004,-95.4061827,1743 Kipling Street,houston,77098.0,,,2019-07-18,2019-07-18,0,7,summer,yes,1,0
18 Hands Gallery,131303,4984980,2008-10-04,2008-10-31,29.8031846,-95.40121490000001,"249 West 19th Street, Suite B",houston,77008.0,www.18handsgallery.com,5115193.0,2008-10-04,2008-10-31,27,10,fall,yes,29,66
1821 West Alabama Street,15600114,11433915,2015-11-07,2015-12-05,29.738334000000002,-95.40558100000001,1821 West Alabama Street,houston,77098.0,,7144981.0,2015-11-07,2015-12-05,28,11,fall,no,1,1
1933 Dryden Road,14024201,3568998,2017-08-11,2017-08-11,29.710914199999998,-95.4054954,1933 Dryden Road,houston,77030.0,,10420781.0,2017-08-11,2017-08-11,0,8,summer,yes,1,1
1940 Air Terminal Museum,7543814,4155903,2011-12-03,2011-12-03,29.64706925,-95.28617922879309,8325 Travelair Street,houston,77061.0,,,2011-12-03,2011-12-03,0,12,winter,no,2,0
20 N. Chenevert,11488572,9772215,2009-09-24,2009-11-07,29.7606965,-95.3518459,20 North Chenevert Street,houston,77002.0,,2409312.0,2009-09-24,2009-11-07,44,9,fall,yes,1,8
203 East 26th Street,15815212,7485143,2018-06-23,2018-07-14,29.810720500000002,-95.3993145,203 East 26th Street,houston,77008.0,,5060475.0,2018-06-23,2018-07-14,21,6,summer,yes,1,1
2101 Winter Street,8478011,10836016,2018-10-13,2018-11-10,29.7719266,-95.3819938,2101 Winter Street,houston,77007.0,,4793414.0,2018-10-13,2018-11-10,28,10,fall,yes,1,1
2132 Bissonnet Street,2551483,4803519,2017-09-22,2017-10-06,29.7259113,-95.4123966,2132 Bissonnet Street,houston,77005.0,,13519714.0,2017-09-22,2017-10-06,14,9,fall,yes,1,1
215 Grove Street,4143654,12757804,2018-05-05,2018-05-06,29.765139500000004,-95.3390333,215 Grove Street,houston,77020.0,,,2018-05-05,2018-05-06,1,5,spring,yes,1,0
216 N Edgewood Street,8626515,9010528,2018-05-12,2018-05-12,29.7478092,-95.3236804,216 North Edgewood Street,houston,77011.0,,,2018-05-12,2018-05-12,0,5,spring,yes,1,0
219 Stratford Street,821133,14336347,2019-05-24,2019-05-24,29.7467766,-95.3868703,"219 Stratford Street, Apt B",houston,77006.0,,,2019-05-24,2019-05-24,0,5,spring,yes,1,0
2347 North Boulevard,16768703,11249739,2018-06-24,2018-06-24,29.727870899999996,-95.41606709999999,2347 North Boulevard,houston,77098.0,,10002256.0,2018-06-24,2018-06-24,0,6,summer,yes,1,1
2404 Montrose Gallery,4136147,1102985,2011-09-02,2011-09-22,29.7479654285714,-95.39208851020409,2404 Montrose Boulevard,houston,77006.0,www.2404montrose.com,9598902.0,2011-09-02,2011-09-22,20,9,fall,yes,2,2
2411 Wroxton,9406605,11798058,2019-06-01,2019-06-01,29.724490799999998,-95.4176823,2411 Wroxton Road,houston,77005.0,,,2019-06-01,2019-06-01,0,6,summer,yes,1,0
"2426 Bartlett Street, Suite C",7945779,5875816,2018-12-15,2018-12-15,29.7273762,-95.41827550000001,"2426 Bartlett Street, Suite C",houston,77098.0,,,2018-12-15,2018-12-15,0,12,winter,no,1,0
"2426 Bartlett Street, Suite D",11557887,1613212,2018-07-18,2018-07-18,29.7273762,-95.41827550000001,"2426 Bartlett Street, Suite D",houston,77098.0,,,2018-07-18,2018-07-18,0,7,summer,yes,1,0
2619 Arbor Street,10124392,3445901,2016-07-09,2016-07-10,29.722504600000004,-95.3730973,2619 Arbor Street,houston,77004.0,,,2016-07-09,2016-07-10,1,7,summer,yes,1,0
2716 Arbor Street,15332202,5820000,2015-01-24,2015-01-24,29.722095953961002,-95.37081381808441,2716 Arbor Street,houston,77004.0,,5423233.0,2015-01-24,2015-01-24,0,1,winter,no,1,3
2800 Fannin Street,15891306,2994965,2016-09-23,2016-09-25,29.7435761,-95.3763952,2800 Fannin Street,houston,77002.0,,,2016-09-23,2016-09-25,2,9,fall,yes,1,0
2808 Rice Boulevard,13311008,16696483,2018-08-22,2018-08-22,29.717610399999998,-95.42488399999999,2808 Rice Boulevard,houston,77005.0,,,2018-08-22,2018-08-22,0,8,summer,yes,1,0
3116 Garrow Street,4378008,7879153,2017-10-21,2017-10-22,29.7507826,-95.3444879,3116 Garrow Street,houston,77003.0,,,2017-10-21,2017-10-22,1,10,fall,yes,1,0
3300 Jensen Drive,7932958,2272587,2019-05-03,2019-05-18,29.792762,-95.341707,3300 Jensen Drive,houston,77026.0,,,2019-05-03,2019-05-18,15,5,spring,yes,1,0
3517 Irvington Boulevard,9558594,13921863,2017-12-02,2018-01-19,29.792525,-95.3635007,3517 Irvington Boulevard,houston,77009.0,,8200502.0,2017-12-02,2018-01-19,48,12,winter,no,1,1
3708 S Main Street,5026346,7174363,2018-05-03,2018-05-03,29.7383648,-95.38209509999999,3708 South Main Street,houston,77002.0,,,2018-05-03,2018-05-03,0,5,spring,yes,1,0
3809 Rosedale Street,3205100,4333748,2019-08-17,2019-08-17,29.714622499999997,-95.35625859999999,3809 Rosedale Street,houston,77004.0,,,2019-08-17,2019-08-17,0,8,summer,yes,1,0
4019 La Branch Street,12590468,5488892,2017-10-21,2017-10-21,29.733507,-95.3790316,4019 La Branch Street,houston,77004.0,,,2017-10-21,2017-10-21,0,10,fall,yes,1,0
4188 Elgin Street,1744779,12420912,2017-03-02,2017-03-12,29.725853000000004,-95.3415486,4188 Elgin Street,houston,77004.0,,12577325.0,2017-03-02,2017-03-12,10,3,spring,no,1,1
4203 Rusk Street,15378686,16233188,2016-10-01,2016-10-01,29.743370600000002,-95.3377198,4203 Rusk Street,houston,77023.0,,,2016-10-01,2016-10-01,0,10,fall,yes,1,0
4300 Harrisburg Boulevard,15605089,8151685,2016-05-07,2016-05-08,29.744558299999998,-95.3357863,4300 Harrisburg Boulevard,houston,77011.0,,,2016-05-07,2016-05-08,1,5,spring,yes,1,0
4411 Montrose Boulevard,3516471,13787030,2015-09-11,2015-09-19,29.733177387755102,-95.39100818367349,4411 Montrose Boulevard,houston,77006.0,www.4411montrose.com,1966473.0,2015-09-11,2015-09-19,8,9,fall,yes,3,28
4411 Montrose Special Events Gallery,2384852,9549403,2012-09-07,2012-09-14,29.733177387755102,-95.39100818367349,4411 Montrose Boulevard,houston,77006.0,,196278.0,2012-09-07,2012-09-14,7,9,fall,yes,7,26
4th Floor Projects Gallery (UH),1363751,8843294,2018-02-03,2018-02-17,29.724709999999998,-95.342373,3401 Cullen Boulevard,houston,77204.0,www.art.uh.edu,8872204.0,2018-02-03,2018-02-17,14,2,winter,no,23,31
5601 Navigation Boulevard,8870650,3461842,2019-06-14,2019-07-08,29.748259499999996,-95.3190967,5601 Navigation Boulevard,houston,77011.0,,,2019-06-14,2019-07-08,24,6,summer,yes,1,0
5926 Moonmist Drive,1894765,6573974,2018-03-17,2018-03-24,29.7112106,-95.4883877,5926 Moonmist Drive,houston,77081.0,,,2018-03-17,2018-03-24,7,3,spring,no,5,0
610 Gallery,8434278,10407329,2016-02-06,2016-03-20,29.812445,-95.397178,205 East 28th Street,houston,77008.0,610gallery.wordpress.com,1533563.0,2016-02-06,2016-03-20,43,2,winter,no,1,2
6705 Capitol Street,10496346,11089742,2019-03-30,2019-05-04,29.7370648,-95.3102746,6705 Capitol Street,houston,77011.0,,,2019-03-30,2019-05-04,35,3,spring,no,1,0
6822 Rowan Lane,9213816,11864345,2016-10-22,2016-12-18,29.701177,-95.50510770000001,6822 Rowan Lane,houston,77074.0,,8258016.0,2016-10-22,2016-12-18,57,10,fall,yes,1,1
713INC,1873575,1183905,2012-05-05,2012-05-05,29.776715999999997,-95.36160799999999,1912 North Main Street,houston,77009.0,,1043138.0,2012-05-05,2012-05-05,0,5,spring,yes,2,1
7831 Fondren Road,4223878,558770,2015-10-28,2016-01-03,29.694174,-95.51069100000001,7831 Fondren Road,houston,77074.0,,779711.0,2015-10-28,2016-01-03,67,10,fall,yes,1,3
901 North York Street,14682871,8203443,2019-04-13,2019-04-28,29.758272899999998,-95.3325038,901 North York Street,houston,77003.0,,15822772.0,2019-04-13,2019-04-28,15,4,spring,no,1,1
912 St. Charles Street,8407916,11491833,2015-11-13,2015-11-14,29.749896000000003,-95.35191800000001,912 St. Charles Street,houston,77003.0,,,2015-11-13,2015-11-14,1,11,fall,no,1,0
920 Westcott,8458465,12266914,2016-11-18,2016-11-18,29.770267999999998,-95.424529,920 Westcott Street,houston,77007.0,,7234209.0,2016-11-18,2016-11-18,0,11,fall,no,1,1
A 2nd Cup,12066606,6970541,2018-03-24,2018-04-26,29.791081300000002,-95.38890479999999,1111 East 11th Street,houston,77009.0,www.a2ndcup.com,,2018-03-24,2018-04-26,33,3,spring,no,1,0
A Healing Collective,351354,14020589,2012-06-29,2012-06-29,29.704663500000002,-95.4466197,4231 Bellaire Boulevard,houston,77025.0,ahealingcollective.com,2896997.0,2012-06-29,2012-06-29,0,6,summer,yes,1,1
AIG's Life Building,2917158,4507326,2015-12-27,2015-12-27,29.760255600000004,-95.3947109,2727 Allen Parkway,houston,77019.0,,,2015-12-27,2015-12-27,0,12,winter,no,1,0
AMC Studio 30,327531,15817929,2017-04-23,2017-04-23,29.73270275,-95.51402371875,2949 Dunvale Road,houston,77063.0,,,2017-04-23,2017-04-23,0,4,spring,no,1,0
ARKA Art,5367762,11248840,2018-06-23,2018-06-23,29.7314269,-95.3847531,4715 South Main Street,houston,77002.0,,,2018-06-23,2018-06-23,0,6,summer,yes,2,0
ARTCRAWL Houston,2540086,96395,2008-11-22,2008-11-22,29.7589382,-95.36769740000001,,houston,77002.0,artcrawlhouston.com,11541219.0,2008-11-22,2008-11-22,0,11,fall,no,5,1
Abby Lee's Studio G,3075282,5900037,2011-09-17,2011-09-18,29.758337,-95.350758755102,2020 Commerce Street,houston,77002.0,,7038920.0,2011-09-17,2011-09-18,1,9,fall,yes,1,1
Abigail Ogilvy Gallery Pop Up,242527,8710033,2018-02-21,2018-02-25,29.7375941,-95.410249,3911 McDuffie Street,houston,77098.0,www.abigailogilvy.com,,2018-02-21,2018-02-25,4,2,winter,no,1,0
Aerosol Warfare Gallery & Boutique,2689341,1747891,2009-05-30,2009-06-20,29.744613800000003,-95.359999,"2110 Jefferson Street, Suite 113",houston,77003.0,www.myspace.com/aerosolwarfare,2754362.0,2009-05-30,2009-06-20,21,5,spring,yes,16,11
Aether Space,2832751,10213335,2018-03-03,2018-05-15,29.7817635,-95.39446720000001,3210 White Oak Drive,houston,77007.0,www.aetherspaceart.com,4669349.0,2018-03-03,2018-05-15,73,3,spring,no,3,1
Ahearn Room at the Crooker Center (University of St. Thomas),9777215,3742630,2013-02-13,2013-02-13,29.738651,-95.391267,3800 Montrose Boulevard,houston,77006.0,,11609097.0,2013-02-13,2013-02-13,0,2,winter,no,1,2
Airline Drive @ East Whitney Street,11086201,2207413,2012-12-01,2012-12-01,29.82885,-95.384229,4400 Airline Drive,houston,77022.0,www.theartguys.com/situation.html,9236534.0,2012-12-01,2012-12-01,0,12,winter,no,1,1
Aker Imaging Gallery,1726094,695791,2016-02-13,2016-03-01,29.769926,-95.408822,4708 Lillian Street,houston,77007.0,www.akerimaging.com,7438344.0,2016-02-13,2016-03-01,17,2,winter,no,13,28
Alabama Song,702231,4599642,2017-04-21,2017-05-01,29.719438663246397,-95.37442757500021,2521 Oakdale Street,houston,77004.0,,1022210.0,2017-04-21,2017-05-01,10,4,spring,no,41,63
Alamo Drafthouse @ Mason Park,2723656,1334084,2011-09-24,2011-09-24,29.776564699999998,-95.7496731,531 South Mason Road,katy,77450.0,drafthouse.com/houston/mason_park,6190751.0,2011-09-24,2011-09-24,0,9,fall,yes,1,1
Alamo Drafthouse @ Vintage Park,840629,13740621,2015-10-13,2015-10-14,29.9947407,-95.572639,"114 Vintage Park Blvd, Bldg H, Suite J",houston,77070.0,drafthouse.com/houston/vintage_park,,2015-10-13,2015-10-14,1,10,fall,yes,2,0
All Along Little York Road,11828890,13407111,2013-02-26,2013-02-27,29.8717577,-95.2742256,Little York Road,houston,77016.0,,9236534.0,2013-02-26,2013-02-27,1,2,winter,no,1,1
All Over Houston Multi-venue,455904,606854,2013-02-06,2013-02-13,,,,houston,,,5858567.0,2013-02-06,2013-02-13,7,2,winter,no,10,8
Allen Parkway from Waugh to Bagby,12873105,7891562,2014-05-10,2014-05-10,29.7607657,-95.3879484,Allen Parkway,houston,77019.0,,,2014-05-10,2014-05-10,0,5,spring,yes,3,0
Allen's Landing Park,2052291,13840831,2019-04-10,2019-04-14,29.764136999999998,-95.35875990000001,1005 Commerce Street,houston,77002.0,buffalobayou.org/visit/destination/allens-landing/,11704436.0,2019-04-10,2019-04-14,4,4,spring,no,1,1
Alley Theatre,6536010,7156150,2018-11-08,2018-11-09,29.7620983,-95.3653365,615 Texas Street,houston,77002.0,www.alleytheatre.org,10715914.0,2018-11-08,2018-11-09,1,11,fall,no,2,1
Alliance Française de Houston,8507450,1687068,2017-04-07,2017-08-06,29.743069199999997,-95.3892042,427 Lovett Boulevard,houston,77006.0,www.alliancehouston.org,,2017-04-07,2017-08-06,121,4,spring,no,1,0
Alliance Gallery (Houston Arts Alliance),936629,14864515,2014-01-09,2014-02-20,29.759978999999998,-95.40048399999999,3201 Allen Parkway,houston,77019.0,www.houstonartsalliance.com/space125gallery/,383290.0,2014-01-09,2014-02-20,42,1,winter,no,21,54
Alonzo Gallery,3960620,15882381,2014-03-13,2014-03-30,29.7384017,-95.3799932,3710 Main Street,houston,77002.0,www.facebook.com/alonzogallery,442394.0,2014-03-13,2014-03-30,17,3,spring,no,3,13
Already Within Project Space,9341356,8570906,2019-05-24,2019-05-26,29.734276899999998,-95.3814892,4106-4108 Caroline Street,houston,77004.0,,4846190.0,2019-05-24,2019-05-26,2,5,spring,yes,1,1
Altharetta Yeargin Art Museum,8858040,13289000,2018-10-19,2018-11-03,29.780897399999997,-95.58484370000001,901 Yorchester Drive,houston,77079.0,www.facebook.com/Altharetta-Yeargin-Art-Museum-426190580738514/,,2018-10-19,2018-11-03,15,10,fall,yes,1,0
Alvin Community College Fine Arts Gallery,2422534,11847921,2015-09-28,2015-10-22,29.3990253,-95.244978,"3110 Mustang Road, Building B, 2nd Floor",alvin,77511.0,www.alvincollege.edu/Art,13833902.0,2015-09-28,2015-10-22,24,9,fall,yes,1,1
Amplify Sugar Land - Crossbridge Gallery,15763838,4427406,2011-10-14,2011-10-14,29.635098975609797,-95.6188444512195,1049 Eldridge Road,sugar land,77478.0,amplifysugarland.com,12045654.0,2011-10-14,2011-10-14,0,10,fall,yes,1,1
Angela Davis Park,1516104,12652447,2014-11-23,2014-11-23,29.7325652,-95.3902692,Woodrow Street @ Kyle Street,houston,77006.0,www.facebook.com/friendsofangeladavispark?fref=photo,5903639.0,2014-11-23,2014-11-23,0,11,fall,no,1,1
Annex Gallery (HCC Southwest),879829,12640959,2018-02-01,2018-02-28,29.6244989,-95.5639523,"13645 Murphy Road, Suite 250",stafford,77477.0,southwest.hccs.edu/southwest,13442532.0,2018-02-01,2018-02-28,27,2,winter,no,2,4
Antidote,5977210,9559937,2009-06-06,2009-07-06,29.7848946,-95.38802240000001,729 Studewood Street,houston,77007.0,www.antidotecoffee.com,6274161.0,2009-06-06,2009-07-06,30,6,summer,yes,2,2
Anya Tish Gallery,102209,2797286,2014-09-05,2014-10-04,29.733177387755102,-95.39100818367349,4411 Montrose Boulevard,houston,77006.0,www.anyatishgallery.com,8690027.0,2014-09-05,2014-10-04,29,9,fall,yes,105,94
Apama Mackey Gallery,1194951,3071924,2016-12-07,2016-12-07,29.661381800000004,-95.2174752,628 East 11th Street,houston,77504.0,www.mackeygallery.com,16490561.0,2016-12-07,2016-12-07,0,12,winter,no,12,10
Arab American Cultural & Community Center,1476180,8787414,2017-04-05,2017-04-28,29.6564208,-95.56823309999999,10555 Stancliff Road,houston,77099.0,www.facebook.com/acchouston/,10637993.0,2017-04-05,2017-04-28,23,4,spring,no,1,1
Arabia Shrine Center,4565886,15676471,2018-05-19,2018-05-20,29.717762699999998,-95.55587740000001,10510 Harwin Drive,houston,77036.0,www.shriners-houston.org,,2018-05-19,2018-05-20,1,5,spring,yes,1,0
Arc House,15532267,5304019,2019-09-07,2019-10-20,29.771044899999996,-95.3694522,1008 Edwards Street,houston,77007.0,,11665581.0,2019-09-07,2019-10-20,43,9,fall,yes,1,1
Architecture Center Houston,342360,9927925,2011-11-10,2012-01-13,29.7628673,-95.3689592,"315 Capitol Street, Suite 120",houston,77002.0,www.aiahouston.org,5160616.0,2011-11-10,2012-01-13,64,11,fall,no,16,28
Archway Gallery,929426,10000716,2015-06-06,2015-07-08,29.745477500000003,-95.40187940000001,2305-A Dunlavy Street,houston,77006.0,www.archwaygallery.com,526875.0,2015-06-06,2015-07-08,32,6,summer,yes,82,66
Arlington Street Studios,6001803,8197221,2010-12-04,2010-12-04,29.802382363636397,-95.3945232121212,1831 Arlington Street,houston,77008.0,,2165450.0,2010-12-04,2010-12-04,0,12,winter,no,2,9
Arlo’s Ballroom,5431671,12529352,2017-04-24,2017-04-25,29.7465348,-95.3582007,2119 Leeland Street,houston,77003.0,www.facebook.com/arlosballroom/,,2017-04-24,2017-04-25,1,4,spring,no,1,0
Art Alley at Sawyer Yards,606212,1792180,2019-04-27,2019-04-27,29.771869,-95.3840617,1502 Sawyer Street,houston,77007.0,www.sawyeryards.com/single-post/2018/10/02/Outer-Limits-Sculpture-in-Art-Alley,5346086.0,2019-04-27,2019-04-27,0,4,spring,no,4,1
Art Car Museum,400172,4578810,2019-09-14,2019-11-17,29.766970346938802,-95.39713242857141,140 Heights Boulevard,houston,77007.0,www.artcarmuseum.com,12884422.0,2019-09-14,2019-11-17,64,9,fall,yes,49,95
Art Gallery (LSC Kingwood),339072,416130,2013-10-10,2013-11-06,30.051646999999996,-95.245432,20000 Kingwood Drive,kingwood,77339.0,kingwood.lonestar.edu,1012108.0,2013-10-10,2013-11-06,27,10,fall,yes,30,53
Art Guys World Headquarters,542860,1202932,2014-10-18,2014-10-26,29.8493658633252,-95.42311870308279,5757 Knox Street,houston,77091.0,theartguys.com,1778847.0,2014-10-18,2014-10-26,8,10,fall,yes,4,6
Art League Houston,46264,14221280,2017-01-27,2017-03-11,29.750756142857103,-95.39198238775509,1953 Montrose Boulevard,houston,77006.0,www.artleaguehouston.org,5206216.0,2017-01-27,2017-03-11,43,1,winter,no,197,267
Art Palace,44355,6474523,2016-07-08,2016-08-13,29.7366566,-95.380711,3913 Main Street,houston,77002.0,www.artpalacegallery.com,2215571.0,2016-07-08,2016-08-13,36,7,summer,yes,101,91
Art Square Studios on Commerce,2596686,881857,2018-02-17,2018-02-17,29.7565999,-95.3491568,2315 Commerce Street,houston,77003.0,,,2018-02-17,2018-02-17,0,2,winter,no,1,0
Art Supply on Main,9924074,3988749,2010-06-04,2010-06-06,29.7444937346939,-95.3746728979592,2711 Main Street,houston,77002.0,artsupplyonmain.com,11308521.0,2010-06-04,2010-06-06,2,6,summer,yes,3,1
Art in Mo$h'n at 2425 Dowling,14983238,6142594,2011-10-09,2011-10-10,29.738861727272702,-95.3614008787879,2425 Dowling Street,houston,77004.0,lovelyloyalty.blogspot.com,1130914.0,2011-10-09,2011-10-10,1,10,fall,yes,1,8
Art of the World Gallery,4445383,4736967,2016-10-28,2017-02-11,29.7422261,-95.4141723,2201 Westheimer Road,houston,77098.0,www.artoftheworldgallery.com,10931557.0,2016-10-28,2017-02-11,106,10,fall,yes,6,6
ArtHouston,3103764,2882905,2010-07-10,2010-08-28,,,P.O. Box 980693,houston,77098.0,www.arthouston.com,,2010-07-10,2010-08-28,49,7,summer,yes,1,0
ArtStorm,720400,2363632,2008-05-03,2008-05-31,29.757638699999998,-95.3605511,4828 Caroline Street,houston,77004.0,www.artstormhouston.com,10400390.0,2008-05-03,2008-05-31,28,5,spring,yes,15,32
Arts & Frames,10954593,13533688,2009-04-18,2009-04-25,29.2997574878049,-94.78678070731709,1126 19th Street,galveston,77550.0,,,2009-04-18,2009-04-25,7,4,spring,no,1,0
Asia Society Texas Center,292830,59280,2016-01-22,2016-01-22,29.7265535714286,-95.38433,1370 Southmore Boulevard,houston,77004.0,asiasociety.org/texas,1531510.0,2016-01-22,2016-01-22,0,1,winter,no,46,58
Atelier Jacquinet Art Studio and Gallery,3763120,2754372,2008-11-22,2008-12-22,29.763422,-95.35199990000001,913 McKee Street,houston,77002.0,atelierjacquinet.com,12343810.0,2008-11-22,2008-12-22,30,11,fall,no,2,11
Aurora Picture Show,180283,1077923,2017-04-06,2017-04-06,29.7272886610268,-95.4156053071649,2442 Bartlett Street,houston,77098.0,aurorapictureshow.org/pages/home.asp,4099215.0,2017-04-06,2017-04-06,0,4,spring,no,110,131
Aurora Residency,5283313,10330916,2016-09-10,2016-09-10,29.7416709,-95.43374720000001,1834 1/2 Westheimer Road,houston,77098.0,,12982534.0,2016-09-10,2016-09-10,0,9,fall,yes,6,8
Aurora Studios & Gallery,7589806,2598196,2015-12-19,2015-12-19,29.809944,-95.3977929,129 Aurora Street,houston,77008.0,www.facebook.com/AuroraStudiosintheheights/?ref=bookmarks,,2015-12-19,2015-12-19,0,12,winter,no,2,0
Aurora Video Library,3498802,4522702,2011-08-23,2011-08-23,29.7378765714286,-95.39800975510201,1524 Sul Ross Street,houston,77006.0,aurorapictureshow.org,16763017.0,2011-08-23,2011-08-23,0,8,summer,yes,5,8
Avant Garden,146644,15901858,2015-03-22,2015-03-22,29.74432895,-95.38647247445591,411 Westheimer Road,houston,77006.0,avantgardenhouston.com/arts.html,2572091.0,2015-03-22,2015-03-22,0,3,spring,no,15,40
Axelrad,140508,13240000,2018-06-29,2018-06-29,29.7349641,-95.374773,1517 Alabama Street,houston,77004.0,www.axelradbeergarden.com/about/,,2018-06-29,2018-06-29,0,6,summer,yes,2,0
BLUEorange Contemporary,911516,3352428,2013-07-19,2013-07-19,29.75338284,-95.39438396,1208 West Gray Street,houston,77019.0,blueorangehouston.com,4199480.0,2013-07-19,2013-07-19,0,7,summer,yes,56,51
BNIM,4921605,5509348,2009-05-08,2009-06-08,29.729878399999997,-95.3868907,"4916 Main Street, Suite 100",houston,77002.0,,6494321.0,2009-05-08,2009-06-08,31,5,spring,yes,2,3
BOX 13 ArtSpace,164941,7729187,2018-01-27,2018-03-03,29.737292800000002,-95.3081826,6700 Harrisburg Boulevard,houston,77001.0,www.box13artspace.com,8717238.0,2018-01-27,2018-03-03,35,1,winter,no,171,283
BR Vino,7903344,1906992,2018-04-07,2018-05-01,29.559491499999996,-95.8095386,1917 Avenue G,rosenberg,77471.0,www.brvino.com,,2018-04-07,2018-05-01,24,4,spring,no,1,0
BS Projects,9394061,2260451,2018-07-20,2018-07-22,29.820087599999997,-95.4601119,"4540 West 34th Street, Suite D",houston,77092.0,,14463554.0,2018-07-20,2018-07-22,2,7,summer,yes,4,2
Babaloo International Cafe & Bar,1985512,8133311,2011-09-09,2011-09-30,29.7355547,-95.7633113,"22756 Westheimer Parkway, #190",katy,77450.0,www.babaloocafe.net/index.html,5913975.0,2011-09-09,2011-09-30,21,9,fall,yes,3,4
Bad News Bar,7205899,6837995,2014-09-06,2014-09-06,29.7619795,-95.36113509999998,308 Main Street,houston,77002.0,,13853929.0,2014-09-06,2014-09-06,0,9,fall,yes,1,1
Baker Ripley Charter School,8227609,11915400,2015-02-21,2015-02-21,29.711033497052803,-95.4969674504451,6500 Rookin Street,houston,77074.0,,,2015-02-21,2015-02-21,0,2,winter,no,2,0
Ballroom at Bayou Place,6158812,11155733,2017-03-16,2017-03-17,29.762319,-95.3694239,500 Texas Street,houston,77002.0,,,2017-03-16,2017-03-17,1,3,spring,no,1,0
Bank of America Center,1746766,15022315,2017-02-08,2017-05-12,29.760701,-95.36591,700 Louisiana Street,houston,77002.0,,8015694.0,2017-02-08,2017-05-12,93,2,winter,no,4,10
