event_uid,venue_uid,start_date,end_date,venue,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season
4575,10137684,2013-05-31,2013-09-08,Houston Center for Contemporary Craft,29.730715804878,-95.3858012682927,4848 Main Street,houston,77002,www.crafthouston.org,16459675,2013-05-31,2013-09-08,100,5,spring,yes
13228,13371986,2012-04-25,2012-04-25,Project Row Houses,29.7319444081633,-95.3652960612245,2521 Holman Street,houston,77004,www.projectrowhouses.org,3079814,2012-04-25,2012-04-25,0,4,spring,no
13228,13371986,2012-04-25,2012-04-25,Project Row Houses,29.7319444081633,-95.3652960612245,2521 Holman Street,houston,77004,www.projectrowhouses.org,15368376,2012-04-25,2012-04-25,0,4,spring,no
13313,13357951,2019-03-03,2019-04-04,Watercolor Art Society,29.7383709,-95.3995419,1601 West Alabama Street,houston,77006,www.watercolorhouston.org,NA,2019-03-03,2019-04-04,32,3,spring,no
13793,6249733,2016-03-21,2016-04-08,Gallery 220 (HBU),29.6980291836735,-95.5152786326531,"7502 Fondren Road, University Academic Center",houston,77074,NULL,9052742,2016-03-21,2016-04-08,18,3,spring,no
14545,2575785,2014-09-13,2014-09-13,14 Pews,29.8097397906977,-95.3893475116279,800 Aurora Street,houston,77009,14pews.org,12713617,2014-09-13,2014-09-13,0,9,fall,yes
15623,9976546,2016-11-18,2016-11-20,Winter Street Studios,29.77187045,-95.3798089149235,2101 Winter Street,houston,77007,www.winterstreetstudios.net,NA,2016-11-18,2016-11-20,2,11,fall,no
15964,13952082,2019-03-08,2019-04-27,Inman Gallery,29.7369951,-95.380541,3901 Main Street,houston,77002,www.inmangallery.com,3441064,2019-03-08,2019-04-27,50,3,spring,no
16978,11227709,2017-11-06,2017-11-22,Conroe Art League,30.3111166,-95.4568263,127 Simonton Street,conroe,77301,www.conroeartleague.com,12436005,2017-11-06,2017-11-22,16,11,fall,no
18831,5903412,2008-10-25,2008-11-16,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,7345789,2008-10-25,2008-11-16,22,10,fall,yes
18831,5903412,2008-10-25,2008-11-16,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,8374333,2008-10-25,2008-11-16,22,10,fall,yes
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,4653434,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,5242653,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,6164620,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,12627510,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,12879651,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,14241227,2011-03-03,2011-03-31,28,3,spring,no
25376,13275212,2011-06-04,2011-06-04,Rothko Chapel (Menil Collection),29.7377392040816,-95.3959643469388,1409 Sul Ross Street,houston,77006,www.rothkochapel.org,1514248,2011-06-04,2011-06-04,0,6,summer,yes
25376,13275212,2011-06-04,2011-06-04,Rothko Chapel (Menil Collection),29.7377392040816,-95.3959643469388,1409 Sul Ross Street,houston,77006,www.rothkochapel.org,6488545,2011-06-04,2011-06-04,0,6,summer,yes
25376,13275212,2011-06-04,2011-06-04,Rothko Chapel (Menil Collection),29.7377392040816,-95.3959643469388,1409 Sul Ross Street,houston,77006,www.rothkochapel.org,14489260,2011-06-04,2011-06-04,0,6,summer,yes
28137,7049963,2014-09-27,2014-10-25,Front Gallery,29.7336233030303,-95.3967752727273,1412 Bonnie Brae Street,houston,77006,NULL,8305873,2014-09-27,2014-10-25,28,9,fall,yes
31445,12757578,2008-11-15,2009-01-03,Deborah Colton Gallery,29.7277956,-95.41597,2445 North Boulevard,houston,77098,www.deborahcoltongallery.com,5746522,2008-11-15,2009-01-03,49,11,fall,no
32789,9576675,2017-06-03,2017-06-27,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,13555198,2017-06-03,2017-06-27,24,6,summer,yes
33955,15823095,2012-03-31,2012-03-31,Brown Auditorium Theater (MFAH),29.7256798,-95.3904825,1001 Bissonnet Street,houston,77005,NULL,NA,2012-03-31,2012-03-31,0,3,spring,no
37214,12330565,2013-02-23,2013-06-30,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,NA,2013-02-23,2013-06-30,127,2,winter,no
43140,5764669,2010-10-03,2010-10-03,Nau-haus,29.7908041428571,-95.3960782653061,223 East 11th Street,houston,77008,NULL,4250195,2010-10-03,2010-10-03,0,10,fall,yes
43140,5764669,2010-10-03,2010-10-03,Nau-haus,29.7908041428571,-95.3960782653061,223 East 11th Street,houston,77008,NULL,9044029,2010-10-03,2010-10-03,0,10,fall,yes
44355,6474523,2016-07-08,2016-08-13,Art Palace,29.7366566,-95.380711,3913 Main Street,houston,77002,www.artpalacegallery.com,2215571,2016-07-08,2016-08-13,36,7,summer,yes
44381,3255090,2014-01-10,2014-02-15,Wade Wilson Art,29.732777,-95.390707,"4411 Montrose Boulevard, Suite #200",houston,77006,www.wadewilsonart.com,5715259,2014-01-10,2014-02-15,36,1,winter,no
46264,14221280,2017-01-27,2017-03-11,Art League Houston,29.7507561428571,-95.3919823877551,1953 Montrose Boulevard,houston,77006,www.artleaguehouston.org,5206216,2017-01-27,2017-03-11,43,1,winter,no
46406,9576675,2010-09-04,2010-09-26,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,10589418,2010-09-04,2010-09-26,22,9,fall,yes
47360,16545239,2011-10-29,2011-10-29,SKYDIVE,29.7324890808081,-95.4095063030303,2041 Norfolk Street,houston,77098,www.theskydive.org,3079814,2011-10-29,2011-10-29,0,10,fall,yes
48845,3708126,2009-09-19,2009-10-01,Hiram Butler Gallery,29.7676543469388,-95.4063963673469,4520 Blossom Street,houston,77007,www.devinbordenhirambutlergallery.com,9766595,2009-09-19,2009-10-01,12,9,fall,yes
51930,14224768,2008-10-01,2008-10-24,JP Morgan Chase,29.7246365,-95.3905619,712 Main Street,houston,77002,NULL,5138582,2008-10-01,2008-10-24,23,10,fall,yes
51930,14224768,2008-10-01,2008-10-24,JP Morgan Chase,29.7246365,-95.3905619,712 Main Street,houston,77002,NULL,6463090,2008-10-01,2008-10-24,23,10,fall,yes
51930,14224768,2008-10-01,2008-10-24,JP Morgan Chase,29.7246365,-95.3905619,712 Main Street,houston,77002,NULL,10200834,2008-10-01,2008-10-24,23,10,fall,yes
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,1858841,2009-01-08,2009-02-08,31,1,winter,no
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,3659100,2009-01-08,2009-02-08,31,1,winter,no
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,4755766,2009-01-08,2009-02-08,31,1,winter,no
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,9438472,2009-01-08,2009-02-08,31,1,winter,no
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,13200584,2009-01-08,2009-02-08,31,1,winter,no
57361,10194916,2009-01-08,2009-02-08,Galleria Lazzara,29.814454,-95.467768,"5400 Mitchelldale Street, Suite B7",houston,77092,www.gallerialazzara.com,14575347,2009-01-08,2009-02-08,31,1,winter,no
62850,15997428,2019-01-31,2019-04-11,O'Kane Gallery (UHD),29.766005,-95.3591542,1 Main Street,houston,77002,NULL,NA,2019-01-31,2019-04-11,70,1,winter,no
67500,13360907,2010-04-29,2010-05-06,Bosque Gallery (LSC CyFair),29.9107329,-95.6900105,"9191 Barker Cypress Road, Suite 101",cypress,77433,cyfair.lonestar.edu/bosquegallery,NA,2010-04-29,2010-05-06,7,4,spring,no
68305,1647308,2014-09-10,2014-09-10,DiverseWorks,29.7355171,-95.3811904,"3400 Main Street, Suite 292",houston,77002,diverseworks.org,4312081,2014-09-10,2014-09-10,0,9,fall,yes
68305,1647308,2014-09-10,2014-09-10,DiverseWorks,29.7355171,-95.3811904,"3400 Main Street, Suite 292",houston,77002,diverseworks.org,5782677,2014-09-10,2014-09-10,0,9,fall,yes
68305,1647308,2014-09-10,2014-09-10,DiverseWorks,29.7355171,-95.3811904,"3400 Main Street, Suite 292",houston,77002,diverseworks.org,9875528,2014-09-10,2014-09-10,0,9,fall,yes
68305,1647308,2014-09-10,2014-09-10,DiverseWorks,29.7355171,-95.3811904,"3400 Main Street, Suite 292",houston,77002,diverseworks.org,13118164,2014-09-10,2014-09-10,0,9,fall,yes
68854,13357951,2011-04-22,2011-05-05,Watercolor Art Society,29.7383709,-95.3995419,1601 West Alabama Street,houston,77006,www.watercolorhouston.org,NA,2011-04-22,2011-05-05,13,4,spring,no
70635,1767648,2019-02-20,2019-04-30,Buffalo Bayou Park,29.7625113,-95.3882,Allen Parkway @ Gillette Street,houston,77019,NULL,NA,2019-02-20,2019-04-30,69,2,winter,no
73041,13952082,2016-05-20,2016-06-25,Inman Gallery,29.7369951,-95.380541,3901 Main Street,houston,77002,www.inmangallery.com,12786729,2016-05-20,2016-06-25,36,5,spring,yes
73211,512846,2012-03-15,2012-04-28,Sicardi | Ayers | Bacino,29.738947,-95.397845,1506 West Alabama Street,houston,77098,www.sicardi.com,6610720,2012-03-15,2012-04-28,44,3,spring,no
78072,10059929,2017-11-11,2017-11-12,Masjid Al-Salam,30.0091139,-95.5602529,16700 Old Louetta Road,spring,77379,www.alsalammasjid.org,NA,2017-11-11,2017-11-12,1,11,fall,no
78381,5392379,2014-05-03,2014-05-31,Peveto,29.7347646734694,-95.4190827755102,2627 Colquitt Street,houston,77098,www.peveto.org,11364310,2014-05-03,2014-05-31,28,5,spring,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,493167,2010-09-10,2010-10-23,43,9,fall,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,3641296,2010-09-10,2010-10-23,43,9,fall,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,6938651,2010-09-10,2010-10-23,43,9,fall,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,12039531,2010-09-10,2010-10-23,43,9,fall,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,12802503,2010-09-10,2010-10-23,43,9,fall,yes
80166,5759561,2010-09-10,2010-10-23,Inman Gallery Annex,29.7246365,-95.3905619,3917 Main Street,houston,77002,www.inmangallery.com,15587302,2010-09-10,2010-10-23,43,9,fall,yes
80903,12330565,2007-05-21,2007-09-16,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,NA,2007-05-21,2007-09-16,118,5,spring,yes
81295,11058957,2013-10-12,2013-10-12,The Printing Museum,29.755441,-95.396957,1324 West Clay Street,houston,77019,www.printingmuseum.org,NA,2013-10-12,2013-10-12,0,10,fall,yes
85228,2857335,2011-07-23,2011-07-23,G Gallery,29.7910235,-95.3949771,301 East 11 Street,houston,77008,www.ggalleryhouston.com,NA,2011-07-23,2011-07-23,0,7,summer,yes
87368,712212,2014-09-05,2014-10-04,David Shelton Gallery,29.7328175,-95.3908126,"4411 Montrose Boulevard, Suite B",houston,77006,davidsheltongallery.com,12968636,2014-09-05,2014-10-04,29,9,fall,yes
88142,712212,2009-11-07,2009-12-05,David Shelton Gallery,29.7328175,-95.3908126,"4411 Montrose Boulevard, Suite B",houston,77006,davidsheltongallery.com,8347440,2009-11-07,2009-12-05,28,11,fall,no
88961,7539113,2016-03-30,2016-04-16,Flex Space Houston,29.742402,-95.402255,2608 Dunlavy Street,houston,77006,NULL,170349,2016-03-30,2016-04-16,17,3,spring,no
88961,7539113,2016-03-30,2016-04-16,Flex Space Houston,29.742402,-95.402255,2608 Dunlavy Street,houston,77006,NULL,6704897,2016-03-30,2016-04-16,17,3,spring,no
88961,7539113,2016-03-30,2016-04-16,Flex Space Houston,29.742402,-95.402255,2608 Dunlavy Street,houston,77006,NULL,9955236,2016-03-30,2016-04-16,17,3,spring,no
88961,7539113,2016-03-30,2016-04-16,Flex Space Houston,29.742402,-95.402255,2608 Dunlavy Street,houston,77006,NULL,11641810,2016-03-30,2016-04-16,17,3,spring,no
88961,7539113,2016-03-30,2016-04-16,Flex Space Houston,29.742402,-95.402255,2608 Dunlavy Street,houston,77006,NULL,12946665,2016-03-30,2016-04-16,17,3,spring,no
89583,1097735,2017-04-28,2017-04-29,Navigation Esplanade,29.757667,-95.3448017,2600 Navigation Boulevard,houston,77003,NULL,NA,2017-04-28,2017-04-29,1,4,spring,no
91539,4029071,2011-05-21,2011-05-21,Hardy & Nance Street Studio Complex,29.7687124825535,-95.3512162978562,902 Hardy Street,houston,77020,nancestreetstudios.blogspot.com,NA,2011-05-21,2011-05-21,0,5,spring,yes
93778,6852043,2017-09-16,2017-09-16,McGovern Historical Center,29.682095,-95.391008,"8272 El Rio Street, #190",houston,77054,library.tmc.edu/mcgovern/,NA,2017-09-16,2017-09-16,0,9,fall,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,687393,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,2420053,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,3168682,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,4199480,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,8148448,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,9014592,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,9933946,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,11900438,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,13285963,2011-06-16,2011-07-20,34,6,summer,yes
95014,1540059,2011-06-16,2011-07-20,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,13842267,2011-06-16,2011-07-20,34,6,summer,yes
96142,3708126,2018-09-15,2018-10-27,Hiram Butler Gallery,29.7676543469388,-95.4063963673469,4520 Blossom Street,houston,77007,www.devinbordenhirambutlergallery.com,11879752,2018-09-15,2018-10-27,42,9,fall,yes
96758,5903412,2012-06-28,2012-07-08,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,3998423,2012-06-28,2012-07-08,10,6,summer,yes
96758,5903412,2012-06-28,2012-07-08,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,5892494,2012-06-28,2012-07-08,10,6,summer,yes
96758,5903412,2012-06-28,2012-07-08,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,12657551,2012-06-28,2012-07-08,10,6,summer,yes
97991,10137684,2014-01-31,2014-03-30,Houston Center for Contemporary Craft,29.730715804878,-95.3858012682927,4848 Main Street,houston,77002,www.crafthouston.org,11823178,2014-01-31,2014-03-30,58,1,winter,no
99300,3260883,2009-03-28,2009-03-28,Westheimer Street Festival,29.7448235,-95.387463,300-500 Westheimer Road,houston,77006,NULL,NA,2009-03-28,2009-03-28,0,3,spring,no
100093,1540059,2017-12-06,2018-01-05,Williams Tower Gallery,29.737804,-95.460759,2800 Post Oak Boulevard,houston,77056,NULL,9674672,2017-12-06,2018-01-05,30,12,winter,no
100737,6618085,2011-09-30,2012-01-08,Contemporary Arts Museum Houston,29.726739755102,-95.391116,5216 Montrose Boulevard,houston,77006,www.camh.org,12566285,2011-09-30,2012-01-08,100,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,1932094,2009-09-04,2009-11-15,72,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,5752375,2009-09-04,2009-11-15,72,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,6698880,2009-09-04,2009-11-15,72,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,7652213,2009-09-04,2009-11-15,72,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,14541856,2009-09-04,2009-11-15,72,9,fall,yes
100974,14153503,2009-09-04,2009-11-15,Glassell School of Art,29.727243,-95.3927491,5101 Montrose Boulevard,houston,77006,www.mfah.org,15303724,2009-09-04,2009-11-15,72,9,fall,yes
101216,1153402,2019-08-28,2019-08-28,Menil Collection,29.737713,-95.3978528571429,1515 Sul Ross Street,houston,77006,www.menil.org,15060205,2019-08-28,2019-08-28,0,8,summer,yes
102209,2797286,2014-09-05,2014-10-04,Anya Tish Gallery,29.7331773877551,-95.3910081836735,4411 Montrose Boulevard,houston,77006,www.anyatishgallery.com,8690027,2014-09-05,2014-10-04,29,9,fall,yes
102489,6495752,2011-02-19,2011-03-19,Thornwood Gallery,29.7347638571429,-95.4192297142857,2643 Colquitt Street,houston,77098,www.thornwoodgallery.com,NA,2011-02-19,2011-03-19,28,2,winter,no
102792,16399049,2014-10-23,2014-11-29,Silver Street Studios,29.7712177,-95.3790448,2000 Edwards Street,houston,77007,home.fotofest.org,5874604,2014-10-23,2014-11-29,37,10,fall,yes
102792,16399049,2014-10-23,2014-11-29,Silver Street Studios,29.7712177,-95.3790448,2000 Edwards Street,houston,77007,home.fotofest.org,13271817,2014-10-23,2014-11-29,37,10,fall,yes
112675,10434253,2012-02-04,2012-02-05,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,3833833,2012-02-04,2012-02-05,1,2,winter,no
112675,10434253,2012-02-04,2012-02-05,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,6824507,2012-02-04,2012-02-05,1,2,winter,no
112675,10434253,2012-02-04,2012-02-05,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,10106756,2012-02-04,2012-02-05,1,2,winter,no
112675,10434253,2012-02-04,2012-02-05,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,14051691,2012-02-04,2012-02-05,1,2,winter,no
114598,8692473,2009-02-26,2009-04-04,Rudolph Blume Fine Art | ArtScan Gallery,29.7343485263158,-95.4060155263158,1836 Richmond Avenue,houston,77098,www.rudolphblume.com,524680,2009-02-26,2009-04-04,37,2,winter,no
114846,5031284,2016-05-21,2016-07-02,Laura Rathe Fine Art,29.7347594545455,-95.4202408181818,2707 Colquitt Street,houston,77098,www.laurarathe.com,NA,2016-05-21,2016-07-02,42,5,spring,yes
115075,3708126,2018-02-03,2018-03-31,Hiram Butler Gallery,29.7676543469388,-95.4063963673469,4520 Blossom Street,houston,77007,www.devinbordenhirambutlergallery.com,15473882,2018-02-03,2018-03-31,56,2,winter,no
116392,3155723,2007-06-02,2007-07-07,Moody Gallery,29.734756,-95.421653,2815 Colquitt Street,houston,77098,www.moodygallery.com,3949172,2007-06-02,2007-07-07,35,6,summer,yes
118036,12999371,2015-12-03,2015-12-03,Poison Girl Cocktail Lounge,29.7426512,-95.383951,"1641 Westheimer Road, Suite B",houston,77006,NULL,NA,2015-12-03,2015-12-03,0,12,winter,no
118401,9960048,2015-12-12,2015-12-13,Pearl Fincher Museum of Fine Arts,30.0129467,-95.5101669,6815 Cypresswood Drive,spring,77379,www.pearlmfa.org,NA,2015-12-12,2015-12-13,1,12,winter,no
118939,11856697,2017-01-13,2017-02-25,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,8291093,2017-01-13,2017-02-25,43,1,winter,no
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,1178665,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,3948447,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,4115442,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,6076467,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,6638785,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,6703933,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,9925476,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,10200834,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,11211005,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,11581186,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,12450566,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,12803990,2014-09-14,2014-10-10,26,9,fall,yes
121032,11607508,2014-09-14,2014-10-10,Houston Community College Southwest (HCC SW),29.7259882,-95.4604104,5601 West Loop South,houston,77081,southwest.hccs.edu,12890034,2014-09-14,2014-10-10,26,9,fall,yes
121881,6450183,2014-04-01,2014-04-29,Jung Center,29.726832,-95.391116,5200 Montrose Boulevard,houston,77006,www.cgjunghouston.org,2505034,2014-04-01,2014-04-29,28,4,spring,no
121881,6450183,2014-04-01,2014-04-29,Jung Center,29.726832,-95.391116,5200 Montrose Boulevard,houston,77006,www.cgjunghouston.org,6319969,2014-04-01,2014-04-29,28,4,spring,no
122454,12330565,2011-11-13,2011-11-13,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,1911660,2011-11-13,2011-11-13,0,11,fall,no
122454,12330565,2011-11-13,2011-11-13,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,15445174,2011-11-13,2011-11-13,0,11,fall,no
124878,12330565,2015-10-24,2015-10-24,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,12098467,2015-10-24,2015-10-24,0,10,fall,yes
124878,12330565,2015-10-24,2015-10-24,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,12295649,2015-10-24,2015-10-24,0,10,fall,yes
126841,12330565,2012-06-10,2012-09-23,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,NA,2012-06-10,2012-09-23,105,6,summer,yes
127259,4731788,2008-06-07,2008-07-31,Peel Gallery,29.732777,-95.390707,"4411 Montrose Boulevard, Suite 400",houston,77006,www.peelgallery.org,627585,2008-06-07,2008-07-31,54,6,summer,yes
127259,4731788,2008-06-07,2008-07-31,Peel Gallery,29.732777,-95.390707,"4411 Montrose Boulevard, Suite 400",houston,77006,www.peelgallery.org,1649606,2008-06-07,2008-07-31,54,6,summer,yes
127259,4731788,2008-06-07,2008-07-31,Peel Gallery,29.732777,-95.390707,"4411 Montrose Boulevard, Suite 400",houston,77006,www.peelgallery.org,1885999,2008-06-07,2008-07-31,54,6,summer,yes
127259,4731788,2008-06-07,2008-07-31,Peel Gallery,29.732777,-95.390707,"4411 Montrose Boulevard, Suite 400",houston,77006,www.peelgallery.org,1954878,2008-06-07,2008-07-31,54,6,summer,yes
