index,latitude,longitude,MLsaysSciJob,altitude,geometry,commpany_searched_for,name,numberTimesCompanySeen,FALSE,FALSE2,KeyWord,place_id,types,address,reference,photos,industry,rating_x,id
2163,29.7003437,-95.0847126,1,,Point,Acuren+Houston+Texas,Acuren Inspection Inc,2,,0,Aerospace,ChIJ_7hD1iSgQIYRMN_F0tMIsGE,"point_of_interest,establishment","101 Old Underwood Rd j, La Porte, TX 77571, United States",CmRRAAAAB8TBVpOxWILmf32GUOovMnPBYP2ICXbNWGOridP3lh5PgwgcgEJuXb_JLhJR-UI7v-T7yAl1UCBjQaryPrzGaMFDSh8zqx1E6GiiOIfEoODIrWLOnPDoUpSiu98-nq3OEhA_XZvbunQnz1-mJ28BnqKrGhSmh-IjdqcCkjp0A-KZT2akuYx14A,"4320|CoQBdwAAACLQipYvFZrk_2F7FqJoU2bsEYkfp_uymSHJSaXnEErZcl03_UKK25fPm7QccQs27V7apIQ36uncLAxhRP4W17zMwEDFiOYJjjTU8T4LIVS6kxVZhYajNyWhdbur0Tz3qAaKuzFcFFx8upOPSnliCMKO2HbfZUi899JnhSKkl84ZEhBX28Y1oPHN0k5YvgstfAG9GhR-l_epse4_cMYObc0vNdNdKGkdbg|<a href=""https://maps.google.com/maps/contrib/111982389324664149955/photos"">Brett Venable</a>|2432",space,5,07c6ba31ec164e2a329b13d467ebc58a034c22fd
2417,29.853297,-95.514855,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,physics,ChIJh59q_IPFQIYR24pJGGcuGbs,"point_of_interest,establishment","13831 Northwest Fwy Ste 314, Houston, TX 77040, United States",CmRSAAAASq8eRXzj6fdOzS8ZqiCvobu5Bdz81cqY1UR4ItGeGUuVAC39_VWfj5a9175ijgtbVAJFvSL2eimHiVzNCBZmpq3h7DvIpEEwkEMtoezphnWFtZ79zVcDHLghnzklv_kJEhDBOxOYNeX8HporoLDI-qlVGhQ7-V05QTtGKPl782rkjfmWwBc-oQ,"910|CoQBdwAAAAQW5ovLcCZS10A3ow2vTi3Inm3C6YV2x0GJJzkXYommk7TbfvMpz1WoMXRzHYjpeE0iNOrmbc2ElCD-YY1sbjAk_zO5RouPZ1OP8uKISzPESW2gQRAyKgCOblj3BXFRdrDtmJkMGdrG4KWMQbFK4Umm2DcIP5zbi43WXdF4uJ14EhB9ONbNyLxbraURIBhM7oCbGhQmYFCxSofNv-BeAovb4MRBG9JC0A|<a href=""https://maps.google.com/maps/contrib/112591333862251176805/photos"">Adecco Staffing</a>|512",space,2.8,e70eaa78a249436bb9eea6943bf27870ce2e149a
2418,29.7324324,-95.5708583,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,physics,ChIJZZP_EWTBQIYR8AoqAtVX-w0,"point_of_interest,establishment","2901 Wilcrest Dr Ste 138, Houston, TX 77042, United States",CmRRAAAAoYcbXkEIMAFJFILyetGKJfG7qLzG4LyEyxsY6wK83vcJswF630QhT7lrnpY_w53ISvU3Iofr3FC9HenWPtsqrhdy8Kcn929jUFqrKZ978ezcBInDjhdWHY18L1bR_DH9EhAwyqknPo2u6J5OqN34deZJGhSu8qwNeM0R3gZFaF5p-DAoIPrumQ,"910|CoQBdwAAAPHtkbSSaPdNjpm0uw5WtTMIr6L2vNKO1K3_8ucNOOmLyje4isHB_4C82JBsK0uDrqeNAVFEnpd6ut20A1_Tghs-UAmiMU1FuAclJCS8X5C0e9G0_Alsa7BKbssi_Y87CPPJJeqcCpTjfttPo1TWMZreFU7Rg9j3GgmnelX3LFfmEhBXnXOPWtrZgylyC6Q2MyTYGhRiGI87H7qwYt04z1fgdnRFK-oD3A|<a href=""https://maps.google.com/maps/contrib/111643968647927414268/photos"">Adecco Staffing</a>|512",space,1.8,46618d5961ca232318e11dd7321817582adefe32
2419,29.6182088,-95.2158957,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,physics,ChIJ1-eDXN2ZQIYRqPJTiuEIyVA,"point_of_interest,establishment","12515 Gulf Fwy, Houston, TX 77034, United States",CmRRAAAAjR6h6aYyBqjdr7xxIJmeY8AjDu0gIa0K-O5fJmOXtTp6m5VDIHsKXXRamXQI5_UQcRjQUIwTVUNw_Z9WH8J1BdRqWggPoh7Y1K0mReTuyLbOcOANkxlZYyxthjSfD3JIEhCHnXhNfhJI3oeXZIQX_-UmGhQtExaJRxVS-LwbOXGg_HQ4OB7Xrw,"910|CoQBdwAAADiY1klFNfgjw1nRLubTrIybwcd-z78rO41dJD5pdc4KXpZWwKslR7iXcLrQhcwFpLZie9SiZm3mllnd74HP4GzRC9YW1m8f1DJV_JJ32Cbx7deUUGTNXU_WZu5JVww_DHooZG0KtHeR3Cj-_1-v7A5e2hwiyTxhPxiC5EmVmRSjEhCmru_LwiMfQjI9O2_wyKB1GhSD7e6Vs9kGP-sd0r4iGbAg5KhJHQ|<a href=""https://maps.google.com/maps/contrib/109149935956356478988/photos"">Adecco Staffing</a>|512",space,1.8,df2a59c9ca239cbe3aa7b04fdf81ec8bb32c9a57
3422,29.853297,-95.514855,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,chemistry,ChIJh59q_IPFQIYR24pJGGcuGbs,"point_of_interest,establishment","13831 Northwest Fwy Ste 314, Houston, TX 77040, United States",CmRSAAAApZAQZekULTmaboS3gq-oi44lfmQ5N45vxy84rBe-gsSbdyjzwdbwj-_hOGZGgU-EyYBti4SQMk3cT8FyZCaWSiP1C0z3DKZSt5A8dweMEKrTAFManp6Gtfyp9wsi8dhtEhCxfCOfccMSSvXODdTSe1PgGhSKdbApx4m4OZRzEh1wn3HzzIp9rw,"910|CoQBdwAAAOSOgzs1V1U_5gCbRKGZr_0M144b-L8MzJ1t4CZGTuRnxisqGg23b33tg5MfSQomA_b1J5V8L0u2GY3NhGRfJnJFhQDdk3pHqly9Kucd9oNXixm5wwZWE_2UF8-cfTZy-FtmpvuToryq52tWwlCOC0BREevGumFjog9lDwhC_R40EhCm5Em4VBWFuxb-mtQHlpeLGhRvK0dYgRxjSKUm-AZIM92yXqlSgw|<a href=""https://maps.google.com/maps/contrib/112591333862251176805/photos"">Adecco Staffing</a>|512",petroleum,2.8,e70eaa78a249436bb9eea6943bf27870ce2e149a
3423,29.7324324,-95.5708583,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,chemistry,ChIJZZP_EWTBQIYR8AoqAtVX-w0,"point_of_interest,establishment","2901 Wilcrest Dr Ste 138, Houston, TX 77042, United States",CmRRAAAA_aOLOimkAI4HuYTWzaR8ES92pkYuHGbs9rXL5NXH1IaZDXJwpUze_fVQ6yuJkyY8X4eRB87_K3QhDsm0pwtosyYc1i3xV86dDBa6qNM1t3uGDzoeY3HPCSIznqfx6DWdEhBWyh2O5EhMWrBiqTHLVWfXGhThPFXMHXoi1gJ2wUsnD_3Mm__Nkw,"910|CoQBdwAAALvCHlTlFPNJUFRV0o7CheBaBYF3aehRjIShZKRkjZq3RnwdrZypVUstoL4ygQfNusIHatB2o3EAJjrgG8ymYmwSCAMrDf_hcmtfuJUTHFLQx4djkst80eqxZAzSc8K7H5tao3kHNOtTxSGYvtkA9FpMgQM-s-ufdOiz1X1YTObNEhCrfLqOYMKSeMDkMWcqCaPNGhSowXhLNYOWAThewnKo8OVmfQUEUg|<a href=""https://maps.google.com/maps/contrib/111643968647927414268/photos"">Adecco Staffing</a>|512",petroleum,1.8,46618d5961ca232318e11dd7321817582adefe32
3424,29.6182088,-95.2158957,1,,Point,Adecco+Houston+Texas,Adecco Staffing,6,,0,chemistry,ChIJ1-eDXN2ZQIYRqPJTiuEIyVA,"point_of_interest,establishment","12515 Gulf Fwy, Houston, TX 77034, United States",CmRRAAAAjKIgGTIlcHVXMVllZ_ze102gh3qXwJ-QwmhvQkLUouSOpaioOmYSzgvlDf1q-p3DsUShhqY3--8beKxVvIWwo_6muOURSAZ3MeD8DqEJfsYmUR8gqJaw-7lnamblQlI_EhCM6sGcu_0P_ENZA5WmzKo7GhTQ_8SHAlAJQTG4rdXgDsw3ygVu4Q,"910|CoQBdwAAAD4baM8pc2lsaNjICBYZqVF0HRdOzpr3IbyTfoKcJ6VklNrRetqwU-TxhNUI4mreWPo4nwS_uizeKZS9YKWLpRDqoWXAGFLI89ew25YsVddwqokE-VdP5Qk5uM7gM43N5C5UrJIKPwpYf57M0B9hqXi3o3_f5cghEC1Z9MgRiR77EhCD3sIQvuK-VuGy7g6150_kGhR9cY3RTl8Al-FVQENZKK8VV6J7vg|<a href=""https://maps.google.com/maps/contrib/109149935956356478988/photos"">Adecco Staffing</a>|512",petroleum,1.8,df2a59c9ca239cbe3aa7b04fdf81ec8bb32c9a57
3626,29.6751575,-95.091024,1,,Point,Adler+Tank+Rentals+Houston+Texas,Adler Tank Rentals,1,0,TRUE,Exploration,ChIJFTLJdpqfQIYRSCrmZpCd6YA,"point_of_interest,establishment","2751 Aaron St, Deer Park, TX 77536, United States",CmRSAAAAQrQGCVohn3DEhwKLVJKr4UKbf97szMUMF_9M5ZJPeToX2VhvKaE3scNsSkEFQDex_aUGtF8erb-7CRWzfWkZeoZLn7Th2WlsSeEEjR6RM_pKx2V3cqH8UFgpwlZYVRCtEhCEkVJwdiejGe27mIo0sN0SGhQOVOYtBuCJG6inCnM5TghrjhE5OQ,"2322|CoQBdwAAAHhZstVPcCMy62iv-HgvDm9Cbc_xoMwnKrgoxZ2FqWh43M452sJH65zK8njW46ghCDVvxTpjO-My9AmKFDAQqPegVBGceYXKt2yFRdwl0huilCQXpQ3uMqOIx1OdIZexgMaYJN3kNmroBrsti2qPvgncm1LpH_ErXHi5a781UzWjEhCIuNfwT39XJMMiInnPkkXVGhSN-EsQSCjEz-F8zv0-36x-YHpztw|<a href=""https://maps.google.com/maps/contrib/100988293821962241682/photos"">Brandon Nash</a>|4128",petroleum,2,22081f20cf7bf2b65a2e6f2ce70cab4c8f69ed16
892,29.783155,-95.58439,1,,Point,Advanced+Clinical+Houston+Texas,Advanced Clinical Endodontics of Houston,1,0,TRUE,Pharmaceutical,ChIJSQg-RGrbQIYR2LOuWGq6UXY,"dentist,health,point_of_interest,establishment","13750 Britoak Ln #100, Houston, TX 77079, United States",CmRRAAAAfrdZhH646AP7NwqwBsK_iGlgsIbHDfrFvV0GFW-g39bXWOW95B0kQTVbbnKzeEGA4oNkOZqwllJ-qHLb-XtgIoCRtV7LFhvP_HIWkSamxNhwqA0A_h9ptXmzdkhynO-5EhBzi9CSv8L1cKsUyB4UDIbnGhQC8tCdI4aSEntsSWitt5Z11I4Tlw,"2048|CoQBdwAAALhPRurVt_mgwlFFZpHIKWt-EgU0LUV4ZpXFKtRaZtQXYIQM3o1nEVyNlbsA8Mdwu2Ra6hHA4LAW949N4sLA8pjTpR0YFYnyjOdCmTWDnOtHcq_8dfXeu-WKthElx6GDffH83dEX4AdO4pYnzoQmlt8oGXSxeXRlhXzD_yH1XaRWEhBd11bIsLQpgmLpVT1eQGmiGhRHdBx49P_aidZZvkCu9dSscrp_1Q|<a href=""https://maps.google.com/maps/contrib/113417398406613920031/photos"">Ace Endodontic</a>|1356",health,3.4,47bfcacbf03137718b85153cd6b1115758b94cd4
2090,29.8659873,-95.5096476,1,,Point,Advantage+Technical+Houston+Texas,Advantage Interests Inc,1,,0,subsea,ChIJhdRfNnvPQIYR7HNCbpCyjI4,"point_of_interest,establishment","7840 W Little York Rd, Houston, TX 77040, United States",CmRSAAAAG5fn58ZFnFOlgE7QACWCxB22r3rdFKbsw6IlHYKdT7b5PB99dLRArCdq5J8Rl5k76lPcYm6Z8C37F8AxV3kOWTdm8TasrrlXj3JPX69yj9wSXy_jnfCkoKtFSLaQxUo3EhDuNUMNMhYSBstfCAvSs5FyGhSn2bA7eeOw1zGGamiFZppq6kDFkw,"1000|CoQBdwAAAJKPNH-GxAhgmVDSxvf0qy6xEXQmcCDMlHiOS2fJiFzcrI1B4Mbh6Uno5DNtmbiYM9oT73jzBNYuT7bnT4jmzFpOPUArjT8XNur4uAxRQ-G4O32yqpYSrwXBz3BLU1RWm38chnYVp_Uhsnwy_g3OH9oM_PDTXTzbt7D0cczeGnKmEhDL4SaoZE9xp9aIZmkLIlRoGhROAtgX_18dXhKxJsW5RZHepEmlmA|<a href=""https://maps.google.com/maps/contrib/102962729180579125967/photos"">Advantage Interests Inc</a>|667",petroleum,5,63358aa1a40a74d82a90f8c6952151ead4b65d3d
2141,29.8763081,-95.3873368,1,,Point,Advantage+Technical+Houston+Texas,Advantage Auto,1,,0,Aerospace,ChIJvTlUyuS3QIYRJAWHu8fhtzU,"car_repair,point_of_interest,establishment","7913 Airline Dr, Houston, TX 77037, United States",CmRRAAAAkV7zshi4-qn2m_PDwLjzsJ5zMSXFUviUpb41QWmHayA-C9abHDDgc9RWtOh51RFYyYeoPcSNTK7jIssZlfsxmDEKPbPuBfJJLrvgDJRyuy46aNyrc6UMNEmSruRsfw3XEhAuCClvbIHuMyPL7DzmqdVWGhTxZSKHRXsYik1iEbp3mOkGmY7n6A,,space,5,3ca49046f0743d2a9560916fa0ce4e3dcbcced47
2142,29.7724802,-95.2054407,1,,Point,Advantage+Technical+Houston+Texas,Advantage Houston Motors LLC,1,,0,Aerospace,ChIJP9OaXWejQIYR8gg18-7bodI,"car_repair,point_of_interest,establishment","12823 East Fwy, Houston, TX 77015, United States",CmRSAAAANfEu9xV23XHN2IoZ5skq-dyN0EJZ7YDqMCt3bytGOevRl_DYlVcZuAHcxAkAYoSq8HmaMg6BqUOLMbejiKVjGnY2rf6N9Oi4vYq01Zb2jpr7VzGoeKXBsGu7rlWDyiYSEhD5L7vA_8ch3f6A866w3ib2GhQ5amJWJyLhSfHRmImJLzY5o4krFg,"9572|CoQBdwAAAFaSo--OqfNN2WvXpaurk0oRCYHZ3WuhZ0UoFHvVb34vily519K03g2vn2hwUhRIr9MDzMHB3k70y-QRW-NXNj7x8XkuUXmyZMguNKX6STHTQqaHojVJleyaHd71IyI0fVnB4o4fBMrHjvkaVidBwljupE5YltzTNhJVkHp5v9ZPEhDrFoKkkBeCPZiyoCtlKQIFGhTd_amaWpsAhF7YncwmKO6LWuzlgA|<a href=""https://maps.google.com/maps/contrib/111549975025476350043/photos"">GiovanniHughes</a>|3124",space,3.8,b84fc40166455eaa81ca40c81168b39c94526dd0
2143,29.9693643,-95.332182,1,,Point,Advantage+Technical+Houston+Texas,Advantage Rent A Car,1,,0,Aerospace,ChIJR5WT-xm0QIYRb39kim7fhd8,"car_rental,point_of_interest,establishment","17330 Palmetto Pines, Suite A7, Houston, TX 77032, United States",CmRSAAAAMDwfTgWfevsmLNuzkt13tdxjd6Q-RHhtWtXo4DcJ_oyNsOLeLSmVqXfftPU8kX57oURd_oGh4efvXim-YHRPrHNuKvB9VW8LP3RYPR4mFzqsrypI5H6WL93wHj3NEBo0EhC5WpiAeNQjIc69ADmo8gUuGhQ3FtAGZbRL0JBMuNf5iBFK81nbNw,"748|CoQBdwAAAHJ0ABfKEnzCcEBqBp2sXD0G_Y1m-lKOqCAZYjCz5dEDbBdZnt5xumKBy_nAakP7ekau7rpY8i7nQqzi1tF9QqFlfC3UYlD1yHieJ9vH0PfVAlbtuJAalf150Z6dk1RcTuOXOfS4RZz3S4TtEaRwQTCCZbi6wGdnwDAm1tYgiIFoEhCz6sAVARqfpH8_zw1Og_GBGhSIIJIimrhc8DH7ZgR2ke4ujw73tQ|<a href=""https://maps.google.com/maps/contrib/113116828860361694319/photos"">Advantage Rent A Car</a>|748",space,2.4,0846e28adf721f084f5560a96f07224c65e2963c
